use_case_id,step_order,journey_step,human_role,user_action,agent_action,control,escalation_trigger,evidence_required
AAI-103,3,Human review,Onboarding analyst and compliance reviewer,"Business reviewer accepts, edits, or rejects the agent output.",Captures edits and routes rejected outputs to test backlog.,No autonomous completion for regulated decisions or client commitments.,"Reviewer override, adverse action, legal language, policy exception.","Reviewer decision, edit log, exception reason."
AAI-103,4,Escalation,Onboarding analyst and compliance reviewer,"Risk, Compliance, Legal, or Technology reviews blocked cases.",Packages the evidence trail and suggested remediation path.,Escalate before release when defects repeat or evidence is incomplete.,"Repeat defect, missing audit trail, sensitive data concern.","Escalation ticket, control owner signoff, remediation note."
AAI-104,1,Intake,Client service associate,Business user submits workflow pain point and expected outcome.,Checks intake completeness and maps the workflow to known systems.,"Reject intake if the target user, decision point, or source data owner is missing.","Missing owner, missing decision point, or unclear regulated action.","Intake form, source-system inventory, target user group."
AAI-104,2,Agent draft,Client service associate,"Agent prepares a summary, recommendation, or packet for review.","Retrieves source context, drafts the work product, and cites evidence fields.","Require source links, confidence score, and blocked-action labels.","Low confidence, unsupported recommendation, client-facing wording.","Prompt version, source fields, confidence threshold, generated output."
AAI-104,3,Human review,Client service associate,"Business reviewer accepts, edits, or rejects the agent output.",Captures edits and routes rejected outputs to test backlog.,No autonomous completion for regulated decisions or client commitments.,"Reviewer override, adverse action, legal language, policy exception.","Reviewer decision, edit log, exception reason."
AAI-104,4,Escalation,Client service associate,"Risk, Compliance, Legal, or Technology reviews blocked cases.",Packages the evidence trail and suggested remediation path.,Escalate before release when defects repeat or evidence is incomplete.,"Repeat defect, missing audit trail, sensitive data concern.","Escalation ticket, control owner signoff, remediation note."
AAI-105,1,Intake,Advisor support specialist,Business user submits workflow pain point and expected outcome.,Checks intake completeness and maps the workflow to known systems.,"Reject intake if the target user, decision point, or source data owner is missing.","Missing owner, missing decision point, or unclear regulated action.","Intake form, source-system inventory, target user group."
AAI-105,2,Agent draft,Advisor support specialist,"Agent prepares a summary, recommendation, or packet for review.","Retrieves source context, drafts the work product, and cites evidence fields.","Require source links, confidence score, and blocked-action labels.","Low confidence, unsupported recommendation, client-facing wording.","Prompt version, source fields, confidence threshold, generated output."
AAI-105,3,Human review,Advisor support specialist,"Business reviewer accepts, edits, or rejects the agent output.",Captures edits and routes rejected outputs to test backlog.,No autonomous completion for regulated decisions or client commitments.,"Reviewer override, adverse action, legal language, policy exception.","Reviewer decision, edit log, exception reason."
AAI-105,4,Escalation,Advisor support specialist,"Risk, Compliance, Legal, or Technology reviews blocked cases.",Packages the evidence trail and suggested remediation path.,Escalate before release when defects repeat or evidence is incomplete.,"Repeat defect, missing audit trail, sensitive data concern.","Escalation ticket, control owner signoff, remediation note."
AAI-106,1,Intake,Operations analyst and legal reviewer,Business user submits workflow pain point and expected outcome.,Checks intake completeness and maps the workflow to known systems.,"Reject intake if the target user, decision point, or source data owner is missing.","Missing owner, missing decision point, or unclear regulated action.","Intake form, source-system inventory, target user group."
AAI-106,2,Agent draft,Operations analyst and legal reviewer,"Agent prepares a summary, recommendation, or packet for review.","Retrieves source context, drafts the work product, and cites evidence fields.","Require source links, confidence score, and blocked-action labels.","Low confidence, unsupported recommendation, client-facing wording.","Prompt version, source fields, confidence threshold, generated output."
AAI-106,3,Human review,Operations analyst and legal reviewer,"Business reviewer accepts, edits, or rejects the agent output.",Captures edits and routes rejected outputs to test backlog.,No autonomous completion for regulated decisions or client commitments.,"Reviewer override, adverse action, legal language, policy exception.","Reviewer decision, edit log, exception reason."
AAI-106,4,Escalation,Operations analyst and legal reviewer,"Risk, Compliance, Legal, or Technology reviews blocked cases.",Packages the evidence trail and suggested remediation path.,Escalate before release when defects repeat or evidence is incomplete.,"Repeat defect, missing audit trail, sensitive data concern.","Escalation ticket, control owner signoff, remediation note."
AAI-107,1,Intake,Dispute operations specialist,Business user submits workflow pain point and expected outcome.,Checks intake completeness and maps the workflow to known systems.,"Reject intake if the target user, decision point, or source data owner is missing.","Missing owner, missing decision point, or unclear regulated action.","Intake form, source-system inventory, target user group."
AAI-107,2,Agent draft,Dispute operations specialist,"Agent prepares a summary, recommendation, or packet for review.","Retrieves source context, drafts the work product, and cites evidence fields.","Require source links, confidence score, and blocked-action labels.","Low confidence, unsupported recommendation, client-facing wording.","Prompt version, source fields, confidence threshold, generated output."
AAI-107,3,Human review,Dispute operations specialist,"Business reviewer accepts, edits, or rejects the agent output.",Captures edits and routes rejected outputs to test backlog.,No autonomous completion for regulated decisions or client commitments.,"Reviewer override, adverse action, legal language, policy exception.","Reviewer decision, edit log, exception reason."
AAI-107,4,Escalation,Dispute operations specialist,"Risk, Compliance, Legal, or Technology reviews blocked cases.",Packages the evidence trail and suggested remediation path.,Escalate before release when defects repeat or evidence is incomplete.,"Repeat defect, missing audit trail, sensitive data concern.","Escalation ticket, control owner signoff, remediation note."
AAI-108,1,Intake,Relationship manager,Business user submits workflow pain point and expected outcome.,Checks intake completeness and maps the workflow to known systems.,"Reject intake if the target user, decision point, or source data owner is missing.","Missing owner, missing decision point, or unclear regulated action.","Intake form, source-system inventory, target user group."
AAI-108,2,Agent draft,Relationship manager,"Agent prepares a summary, recommendation, or packet for review.","Retrieves source context, drafts the work product, and cites evidence fields.","Require source links, confidence score, and blocked-action labels.","Low confidence, unsupported recommendation, client-facing wording.","Prompt version, source fields, confidence threshold, generated output."
AAI-108,3,Human review,Relationship manager,"Business reviewer accepts, edits, or rejects the agent output.",Captures edits and routes rejected outputs to test backlog.,No autonomous completion for regulated decisions or client commitments.,"Reviewer override, adverse action, legal language, policy exception.","Reviewer decision, edit log, exception reason."
AAI-108,4,Escalation,Relationship manager,"Risk, Compliance, Legal, or Technology reviews blocked cases.",Packages the evidence trail and suggested remediation path.,Escalate before release when defects repeat or evidence is incomplete.,"Repeat defect, missing audit trail, sensitive data concern.","Escalation ticket, control owner signoff, remediation note."
